lat,lon,T_CRU_20100131
33.5,110.5,-0.2
39.5,63.5,3.275
-82.5,164.5,
33.5,-99.5,6.15
-89.5,-162.5,
-18.5,33.5,25.4
-89.5,-77.5,
38.5,57.5,1.975
-15.5,126.5,28.9996
23.5,54.5,18.2998
-75.5,88.5,
51.5,111.5,-25.6497
24.5,74.5,19.5746
37.5,-99.5,1.725
55.5,-90.5,-23.7497
17.5,31.5,23.0249
20.5,-6.5,18.125
11.5,11.5,24.3505
70.5,-85.5,-27.3
68.5,26.5,-11.42545
56.5,106.5,-30.6502
17.5,18.5,23.5501
-72.5,23.5,
20.5,56.5,20.5495
71.5,-41.5,-22.4504
63.5,27.5,-8.45
38.5,84.5,-5.95
-82.5,120.5,
-86.5,44.5,
-83.5,-63.5,
23.5,97.5,15.0502
41.5,46.5,-3.3746
50.5,-63.5,-16.5752
53.5,-82.5,-24.5499
23.5,90.5,20.3503
42.5,-88.5,-11.0999
-27.5,-52.5,23.9745
19.5,-7.5,19.05
-88.5,155.5,
-85.5,8.5,
78.5,-92.5,-32.75
53.5,46.5,-10.8004
27.5,9.5,12.3
-72.5,36.5,
39.5,27.5,6.6497
48.5,86.5,-16.17488
59.5,79.5,-21.02492
67.5,118.5,-33.2
66.5,-159.5,-24.0501
71.5,-42.5,-22.075
4.5,45.5,27.79968
3.5,-75.5,19.2997
-82.5,126.5,
59.5,129.5,-31.5996
-82.5,139.5,
-75.5,74.5,
57.5,-103.5,-21.9248
26.5,-80.5,18.3253
-4.5,16.5,24.77506
17.5,48.5,19.5005
-82.5,159.5,
8.5,98.5,26.1498
64.5,128.5,-39.5
5.5,27.5,28.1753
-7.5,-70.5,26.07525
1.5,-72.5,25.67463
-13.5,-50.5,27.19992
-85.5,-76.5,
81.5,-35.5,-32.7
6.5,14.5,23.64957
-77.5,-133.5,
46.5,-65.5,-12.5497
39.5,66.5,3.75
3.5,12.5,24.74989
70.5,67.5,-23.2749
-79.5,161.5,
-88.5,-88.5,
-32.5,138.5,25.7495
2.5,98.5,24.07468
-79.5,-60.5,
-74.5,-83.5,
-18.5,-55.5,27.57491
-20.5,31.5,25.2245
-82.5,-106.5,
-89.5,34.5,
-79.5,174.5,
55.5,117.5,-32.3247
-77.5,96.5,
17.5,49.5,19.6002
-86.5,-165.5,
58.5,99.5,-24.275
-73.5,138.5,
71.5,-40.5,-22.7998
65.5,-173.5,-17.6752
-76.5,83.5,
-88.5,-10.5,
0.5,26.5,25.74992
-32.5,-56.5,25.2996
-89.5,124.5,
-72.5,90.5,
4.5,43.5,27.55037
-69.5,138.5,
70.5,77.5,-21.0998
50.5,42.5,-7.925
-75.5,-59.5,
65.5,76.5,-21.6001
52.5,-70.5,-24.7751
-71.5,53.5,
-74.5,113.5,
-81.5,57.5,
-87.5,20.5,
53.5,-111.5,-15.0999
44.5,-106.5,-4.2496
-83.5,-127.5,
-84.5,-156.5,
23.5,34.5,17.3003
-81.5,141.5,
-87.5,78.5,
-85.5,174.5,
43.5,-117.5,-1.3997
-79.5,-83.5,
40.5,40.5,-7.9747
-78.5,45.5,
-84.5,95.5,
-77.5,-115.5,
-11.5,35.5,24.5248
-86.5,101.5,
55.5,159.5,-16.87476
63.5,29.5,-9.7501
-81.5,157.5,
-30.5,139.5,29.4003
-84.5,-42.5,
57.5,41.5,-7.4752
21.5,45.5,16.8747
23.5,116.5,13.875
-84.5,-106.5,
7.5,-8.5,23.8499
61.5,-46.5,-8.5
-14.5,126.5,28.9502
-80.5,165.5,
-88.5,-25.5,
-67.5,46.5,
-74.5,105.5,
37.5,103.5,-10.0246
-2.5,-50.5,26.77498
55.5,87.5,-18.8002
-87.5,86.5,
74.5,-20.5,-17.35
66.5,99.5,-29.825
62.5,58.5,-18.6745
22.5,41.5,18.1001
8.5,-78.5,25.76677
29.5,-102.5,11.0253
-81.5,-63.5,
-20.5,-64.5,18.9996
-70.5,70.5,
-29.5,24.5,26.0001
21.5,-97.5,20.1002
-73.5,26.5,
-88.5,-101.5,
63.5,-116.5,-26.975
-87.5,52.5,
-86.5,38.5,
52.5,28.5,-3.8502
23.5,53.5,18.3503
56.5,-75.5,-24.7253
-85.5,-51.5,
-69.5,62.5,
59.5,101.5,-26.8255
7.5,-3.5,26.2503
-85.5,52.5,
57.5,24.5,-2.8
-87.5,77.5,
67.5,-144.5,-25.4255
-12.5,-48.5,26.85012
-83.5,-80.5,
7.5,-62.5,24.95001
-72.5,129.5,
-40.5,-66.5,23.8
27.5,-82.5,16.7246
29.5,-95.5,13.0752
26.5,46.5,13.425
9.5,-8.5,22.9748
-24.5,-48.5,22.6997
53.5,26.5,-3.8999
51.5,88.5,-23.5004
63.5,157.5,-35.05
-28.5,-63.5,26.4499
75.5,-22.5,-20.4245
-78.5,134.5,
40.5,63.5,1.5
-83.5,73.5,
-78.5,105.5,
57.5,82.5,-19.17504
8.5,-74.5,27.29981
23.5,28.5,16.1745
-12.5,-71.5,20.62543
-80.5,-4.5,
-23.5,118.5,33.4503
13.5,6.5,23.775
-29.5,25.5,24.3249
71.5,114.5,-32.625
-83.5,71.5,
-86.5,143.5,
-68.5,128.5,
-78.5,145.5,
-14.5,-62.5,25.825443
-71.5,-70.5,
43.5,0.5,4.6254
-88.5,18.5,
23.5,13.5,15.1252
15.5,75.5,24.2501
41.5,121.5,-9.0752
49.5,-85.5,-21.5496
-86.5,89.5,
43.5,-110.5,-6.425
-83.5,177.5,
-85.5,74.5,
31.5,59.5,5.9
32.5,105.5,3.775
-6.5,27.5,25.12468
-82.5,48.5,
-27.5,150.5,25.85
64.5,14.5,-8.35
-2.5,-63.5,26.85039
